Fail queues:
[O, L, S, T, Z, J, I]
[L, O, S, T, Z, J, I]
[S, L, O, T, Z, J, I]
[L, S, O, T, Z, J, I]
[S, L, T, Z, O, I, J]
[L, S, T, Z, O, I, J]
[S, J, L, T, Z, O, I]
[J, S, L, T, Z, O, I]
[S, L, J, T, Z, O, I]
[L, S, J, T, Z, O, I]
[J, L, S, T, Z, O, I]
[L, J, S, T, Z, O, I]
[S, I, Z, L, J, T, O]
[I, S, Z, L, J, T, O]
[S, I, Z, J, T, O, L]
[I, S, Z, J, T, O, L]
[S, L, T, O, Z, J, I]
[L, S, T, O, Z, J, I]
[J, S, I, Z, T, O, L]
[S, J, I, Z, T, O, L]
[O, S, J, I, Z, T, L]
[S, O, J, I, Z, T, L]
[O, J, S, I, Z, T, L]
[J, O, S, I, Z, T, L]
[S, I, J, Z, T, O, L]
[I, S, J, Z, T, O, L]
[S, L, T, J, Z, O, I]
[L, S, T, J, Z, O, I]
[J, I, S, Z, T, O, L]
[I, J, S, Z, T, O, L]
[S, J, O, I, Z, T, L]
[J, S, O, I, Z, T, L]
[S, I, L, Z, J, T, O]
[I, S, L, Z, J, T, O]
[S, L, T, Z, J, I, O]
[L, S, T, Z, J, I, O]
[O, S, I, J, Z, T, L]
[S, O, I, J, Z, T, L]
[O, I, S, J, Z, T, L]
[I, O, S, J, Z, T, L]
[S, I, O, J, Z, T, L]
[I, S, O, J, Z, T, L]
[O, J, I, S, Z, T, L]
[J, O, I, S, Z, T, L]
[O, I, J, S, Z, T, L]
[I, O, J, S, Z, T, L]
[J, I, O, S, Z, T, L]
[S, J, L, T, O, Z, I]
[J, S, L, T, O, Z, I]
[I, J, O, S, Z, T, L]
[S, L, J, T, O, Z, I]
[L, S, J, T, O, Z, I]
[J, L, S, T, O, Z, I]
[L, J, S, T, O, Z, I]
[S, I, Z, J, T, L, O]
[I, S, Z, J, T, L, O]
[S, I, Z, L, T, J, O]
[I, S, Z, L, T, J, O]
[S, J, I, O, Z, T, L]
[J, S, I, O, Z, T, L]
[S, I, J, O, Z, T, L]
[I, S, J, O, Z, T, L]
[J, I, S, O, Z, T, L]
[I, J, S, O, Z, T, L]
[S, L, T, Z, O, J, I]
[L, S, T, Z, O, J, I]
[S, J, I, Z, T, L, O]
[J, S, I, Z, T, L, O]
[S, I, J, Z, T, L, O]
[I, S, J, Z, T, L, O]
[S, L, T, J, O, Z, I]
