ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
ZOLTJIT,0,,,
OTZSTLJ,0,,,
JZTSLOT,0,,,
JSITTZL,0,,,
TIZSLTJ,0,,,
STLJTOZ,0,,,
IOSZTTL,0,,,
JLTTIOZ,0,,,
TSZJLTI,0,,,
LZSIOTJ,0,,,
ZSOILJT,0,,,
JZOTTLI,0,,,
JOTLISZ,0,,,
STZLTIO,0,,,
JOLTTIS,0,,,
SZTJTLO,0,,,
IOJTTLZ,0,,,
ZJTOLTS,0,,,
ZTISJTL,2,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVB0PltCsOBAAvhFVvBOpBxsB3lBCtBlpB
LOTTSZJ,0,,,
LJTIOZS,0,,,
LOIJTZS,0,,,
TSZILOT,0,,,
ISTJLTO,0,,,
ILOTJZS,0,,,
TLOIJZT,0,,,
LITTZJO,0,,,
STLJTZI,0,,,
ITTZLOJ,0,,,
ZTIJTSO,3,TTIJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBU+dgCz/AAAvhFVvBZkB9sBToB3lBupB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp/dgCzOBAAvhFxuB2uB9sBTtB3qBlpB;v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBp+TxCKHBAAvhFxuBlsB3lBNpBGoBzpB
TSZLTJO,0,,,
ILSTOTJ,0,,,
LSJOTTZ,0,,,
IOZTJTS,0,,,
STZITLJ,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBpO+tCqCBAAvhFxuB1uBlsB3qBGtBipB
ISLTOTJ,0,,,
TZTLOIJ,0,,,
TTLSIJZ,1,TTILJSZ,,v115@ChB8GeB8IeB8AeB8FeD8JeVQYaAFLDmClcJSAVDEHB?EooRBUoAVBM+9tCqXBAAvhFqpBZkBlsB3lBGoBUqB
TTOJLZI,0,,,
TZLOJSI,1,TILJSZO,,v115@ChB8GeB8IeB8AeB8FeD8JeULYaAFLDmClcJSAVDEHB?EooRBaoAVBs+ytCK+AAAvhFipBlnBTqB/pBGtBRvB
OZLIJTS,0,,,
TLJOZIS,0,,,
OSZTIJT,0,,,
SLTITZJ,0,,,
TOSZJLT,0,,,
IOTSJLZ,0,,,
LZJTITS,0,,,
LSTIJZO,0,,,
IJOSTZL,0,,,
ITSJLTO,0,,,
ITLZTJO,0,,,
OIJZSLT,0,,,
