ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
ILZOTJSI,11,TILJSZO;TIILSZO;TIILJSZ;TIILJZO;TIIJSZO,I;J;O;S;L,v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gzhB8ywwhglRpB8Btwwg0whglRpC8Btg0whhlE8h0?whJeAgWHApfjWCvedBA;v115@9gzhB8zhglRpB8Bti0glRpC8Btwwg0hlE8ywJeAgWH?A0XMgCKOdBA;v115@9gwhilB80hglAtB8ywR4whBtC8wwi0whAtE8R4g0Je?AgWHAqn9wCT+jBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IJOISZLT,8,TIILJSO;TIILJZO;TIILJSZ;IILJSZO,Z;S;O;T,v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gzhB8i0whilB8ywg0whglR4C8wwRpwhR4E8RpwhJe?AgWHAPd9wCsPdBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gzhB8zhilB8ywRpglR4C8wwg0RpR4E8i0JeAgWHAK?9KxCMOdBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gxhh0B8ywglxhg0B8Btilxhg0C8BtRpxhE8wwRpJe?AgWHAvn1LCs/1BA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gg0ywB8Q4hlwhi0B80hRpwwC8R4glwhRpE8Q4glwh?JeAgWHAPONPCzC2BA
ILOZTJSI,10,TILJSZO;TIILSZO;TIILJSO;TIILJZO;TIIJSZO,I;J;Z;S;L,v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gzhB8ywwhglRpB8Btwwg0whglRpC8Btg0whhlE8h0?whJeAgWHApfjWCvedBA;v115@9gzhB8zhglRpB8Bti0glRpC8Btwwg0hlE8ywJeAgWH?A0XMgCKOdBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8zhglRpB8ywR4glRpC8wwi0hlE8R4g0JeAgWH?AqyKxCTOdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IOLZTJSI,8,TILJSZO;TIILSZO;TIILJZO;TIIJSZO,I;J;S;L,v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gzhB8zhh0AtB8ywhlg0BtC8wwRpglg0AtE8RpglJe?AgWHAvizPCUOdBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IOZLTJSI,10,TILJSZO;TIILSZO;TIILJSZ;TIILJZO;TIIJSZO,I;J;O;S;L,v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gzhB8zhh0AtB8ywhlg0BtC8wwRpglg0AtE8RpglJe?AgWHAvizPCUOdBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gwhilB80hglAtB8ywR4whBtC8wwi0whAtE8R4g0Je?AgWHAqn9wCT+jBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IJIOSZLT,7,TIILJSO;TIILJZO;TIILJSZ;IILJSZO,Z;S;O;T,v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gzhB8i0whilB8ywg0whglR4C8wwRpwhR4E8RpwhJe?AgWHAPd9wCsPdBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gzhB8zhilB8ywRpglR4C8wwg0RpR4E8i0JeAgWHAK?9KxCMOdBA;v115@9gxhh0B8ywglxhg0B8Btilxhg0C8BtRpxhE8wwRpJe?AgWHAvn1LCs/1BA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA;v115@9gg0ywB8Q4hlwhi0B80hRpwwC8R4glwhRpE8Q4glwh?JeAgWHAPONPCzC2BA
IZOLTJSI,10,TILJSZO;TIILSZO;TIILJSZ;TIILJZO;TIIJSZO,I;J;O;S;L,v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gzhB8zhh0AtB8ywhlg0BtC8wwRpglg0AtE8RpglJe?AgWHAvizPCUOdBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gwhilB80hglAtB8ywR4whBtC8wwi0whAtE8R4g0Je?AgWHAqn9wCT+jBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IJISOZLT,2,TIILJZO;TIILJSZ;IILJSZO,S;O;T,v115@9gxhh0B8ywglxhg0B8Btilxhg0C8BtRpxhE8wwRpJe?AgWHAvn1LCs/1BA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA
IZLOTJSI,11,TILJSZO;TIILSZO;TIILJSZ;TIILJZO;TIIJSZO,I;J;O;S;L,v115@9gzhB8wwhlwhi0B8ywglwhRpg0C8BtglwhRpE8Btwh?JeAgWHAaX9wCsPdBA;v115@9gzhB8zhi0B8BtywRpg0C8BtwwglRpE8ilJeAgWHAM?njxCKOdBA;v115@9gwhilB8i0xhglAtB8ywg0xhBtC8wwRpxhAtE8Rpwh?JeAgWHAPebMC0/jBA;v115@9gwhilB80hglAtB8ywRpwhBtC8wwg0RpwhAtE8i0Je?AgWHAKnbMCU+jBA;v115@9gzhB8ywwhglRpB8Btwwg0whglRpC8Btg0whhlE8h0?whJeAgWHApfjWCvedBA;v115@9gzhB8zhglRpB8Bti0glRpC8Btwwg0hlE8ywJeAgWH?A0XMgCKOdBA;v115@9gwhilB80hglAtB8ywR4whBtC8wwi0whAtE8R4g0Je?AgWHAqn9wCT+jBA;v115@9gzhB8ywwhi0B8BthlwhRpg0C8BtglwhRpE8wwglwh?JeAgWHAP+TFDqedBA;v115@9gwhilB80hRpB8Bti0whRpC8Btwwg0whglE8ywJeAg?WHA0HDMCqSdBA;v115@9gzhB8i0whglRpB8ywAtwhglRpC8wwBtwhhlE8Atg0?whJeAgWHApXMgC0PdBA;v115@9gzhB8i0whRpglB8ywAtwhilC8wwBtwhRpE8Atg0wh?JeAgWHApXExCvPdBA
IJISZOLT,2,TIILJZO;TIILJSZ;IILJSZO,S;O;T,v115@9gxhh0B8ywglxhg0B8Btilxhg0C8BtRpxhE8wwRpJe?AgWHAvn1LCs/1BA;v115@9gzhB8zhilB8ywAtg0glR4C8wwBtg0R4E8Ath0JeAg?WHAzfjxCMOdBA
